no,atc,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","QuantityOperator","2023-10-18T12:26:21.762","2024-09-23T14:45:44.445","100000165006","8","5","кількість достатня","quantity sufficient","ua_37_1","false",null,null,"«Достатня кількість» (ДК) відповідає латинському терміну «quantum satis», що означає «скільки необхідно», тобто додавання достатньої кількості компонента для досягнення певного кінцевого об’єму або загальної ваги. ДК – це заповнювач для кількості або об’єму, який необхідно «відкоригувати» відповідно до даних обставин у конкретному препараті."
"2","null","null","1.0","QuantityOperator","2023-10-18T12:26:21.768","2024-09-23T14:45:44.492","100000000049","9","1","дорівнює","equal to","ua_37_2","false",null,null,"x = y означає, що x і y представляють одне й те саме поняття або значення."
"3","null","null","1.0","QuantityOperator","2023-10-18T12:26:21.773","2024-09-23T14:45:44.495","100000000050","6","1","менше ніж","less than","ua_37_3","false",null,null,"x < y означає, що x менше за y."
"4","null","null","1.0","QuantityOperator","2023-10-18T12:26:21.777","2024-09-23T14:45:44.499","100000000051","11","1","більше ніж","more than","ua_37_4","false",null,null,"x > y означає, що x більше за y."
"5","null","null","1.0","QuantityOperator","2023-10-18T12:26:21.782","2024-09-23T14:45:44.502","100000000052","8","1","менше ніж або дорівнює","less than or equal to","ua_37_5","false",null,null,"x ≤ y означає, що x менше або дорівнює y."
"6","null","null","1.0","QuantityOperator","2023-10-18T12:26:21.787","2024-09-23T14:45:44.506","100000000053","9","1","більше ніж або дорівнює","more than or equal to","ua_37_6","false",null,null,"x ≥ y означає, що x більше або дорівнює y."
"7","null","null","1.0","QuantityOperator","2023-10-18T12:26:21.792","2024-09-23T14:45:44.509","100000000054","8","1","еквівалентно","equivalent to","ua_37_7","false",null,null,"x ≍ y означає, що x і y не представляють одне й те саме поняття або значення, але є відповідними або практично ідентичними, особливо за дією або функцією."
"8","null","null","1.0","QuantityOperator","2023-10-18T12:26:21.796","2024-09-23T14:45:44.512","100000000055","9","1","приблизно дорівнює","approximately equal to","ua_37_8","false",null,null,"x ≈ y означає, що x приблизно дорівнює y."
"9","null","null","1.0","QuantityOperator","2023-10-18T12:26:21.801","2024-09-23T14:45:44.516","100000000056","8","1","діапазон","range","ua_37_9","false",null,null,"x − y означає значення між x і y включно."
"10","null","null","1.0","QuantityOperator","2024-09-23T14:45:44.483","2024-09-23T14:45:44.489","200000024024","5","1","середня","average","ua_37_10","false",null,null,null
